OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
226,02,Mantua,0,MANTUA TOWN,5/25/2012 12:00:00 AM,47840,3100,069,1, ,1090,1256,MAU,1443141,96f3553d-90c2-495b-9a07-a7d6c343cab4,26178713.7226563,28299.0776608128
227,11,Enoch,0,ENOCH,1/12/2026 12:00:00 AM,23200,3030,005,4, ,7374,8231,ENO,1437554,8aa14b80-fdb0-47af-b984-07c64116b5fb,32797437.3753624,55313.063706851
228,25,Payson,0,PAYSON,2/1/2024 12:00:00 AM,58730,3130,085,1,Payson,21101,22516,PAY,1444252,cd622f74-8e50-4c68-925f-30244bb2637f,57972036.9475822,75746.9052939092
229,17,Laketown,0,LAKETOWN,9/7/2010 12:00:00 AM,42560,3020,002,3,Laketown,299,314,LAK,1429446,508803b5-2087-4f7c-a9ed-e185f76a35c8,11783075.2773438,20011.3868093389
230,04,Scofield,0,SCOFIELD,,67990,3040,040,4, ,26,26,SCO,1445380,dee50dbb-0d25-4670-bdb5-d25d0501f363,4061268.6328125,13562.548773928
231,20,Fountain Green,0,FOUNTAIN GREEN,2/2/2012 12:00:00 AM,26720,3050,011,2, ,1197,1260,FOU,1441187,c0570aea-fecd-4850-8fd5-dc76892270a3,5458773.25390625,9410.77958589853
232,21,Sigurd,0,SIGURD TOWN,5/2/2024 12:00:00 AM,68650,3110,038,3, ,405,422,SIG,1445583,18b521ab-2041-4317-8adf-0bb4dc7a28b1,4776817.89925671,27173.9603186768
233,16,Kingston,0,KINGSTON,9/27/2010 12:00:00 AM,41350,3030,006,3, ,135,137,KNG,1442334,89be214c-931d-434d-add1-012d10bacf2b,22525697.7148438,25726.974427518
234,09,Antimony,0,ANTIMONY,12/15/2010 12:00:00 AM,01860,3010,001,4, ,118,124,ANT,1438250,5b03500a-a205-4afe-a38d-a6c025106c76,41292182.3515625,35266.559869898
235,27,New Harmony,0,NEW HARMONY,10/6/2022 12:00:00 AM,54440,3070,015,4, ,236,245,NWH,1443808,d0540b2f-e4ef-4275-a0c3-c11aa083f473,2614325.4140625,10677.2104164614
236,23,Tooele,1,TOOELE,4/14/2020 12:00:00 AM,76680,3050,048,1,Tooele City,35742,38588,TOO,1433590,625e5241-3ee6-4a40-b447-5b7a181b843e,108586587.919175,74854.0854594056
237,01,Beaver,1,BEAVER,5/16/2022 12:00:00 AM,04060,3010,002,1,Beaver,3592,3708,BVR,1438510,0f4ff44f-a266-4992-a230-04072a3285eb,28199509.388588,45655.1563830863
